"scenario_id","estimator","formula_id","n_replicates","n_converged","bias","mse","power","mean_estimate","mean_se","allocation","K","n","covariate_distribution"
"main_4to0_K10_n100_normal","target_only","correct",1,0,NA,NA,NA,NA,NA,"4to0",10,100,"normal"
"main_4to0_K10_n100_normal","inmass","correct",1,0,NA,NA,NA,NA,NA,"4to0",10,100,"normal"
"main_4to0_K10_n100_normal","meta_regression","correct",1,1,0.0392330374938044,0.00153923123099026,1,2.0392330374938,0.511917926584918,"4to0",10,100,"normal"
"main_1to1_K30_n100_normal","target_only","misspecified",1,1,0.105562538114422,0.0111434494531589,1,2.10556253811442,0.272023875472153,"1to1",30,100,"normal"
"main_1to1_K30_n100_normal","inmass","misspecified",1,0,NA,NA,NA,NA,NA,"1to1",30,100,"normal"
"main_1to1_K30_n100_normal","meta_regression","misspecified",1,0,NA,NA,NA,NA,NA,"1to1",30,100,"normal"
"main_1to1_K30_n100_normal","target_only","correct",1,1,0.166763681418085,0.0278101254401126,1,2.16676368141809,0.210010517580319,"1to1",30,100,"normal"
"main_1to1_K30_n100_normal","inmass","correct",1,0,NA,NA,NA,NA,NA,"1to1",30,100,"normal"
"main_1to1_K30_n100_normal","meta_regression","correct",1,0,NA,NA,NA,NA,NA,"1to1",30,100,"normal"
"main_3to1_K30_n100_normal","target_only","misspecified",1,1,-0.067734611996791,0.00458797766235582,1,1.93226538800321,0.251712953566071,"3to1",30,100,"normal"
"main_3to1_K30_n100_normal","inmass","misspecified",1,0,NA,NA,NA,NA,NA,"3to1",30,100,"normal"
"main_3to1_K30_n100_normal","meta_regression","misspecified",1,0,NA,NA,NA,NA,NA,"3to1",30,100,"normal"
"main_3to1_K30_n100_normal","target_only","correct",1,1,-0.0278307455289302,0.000774550396696067,1,1.97216925447107,0.215793168930451,"3to1",30,100,"normal"
"main_3to1_K30_n100_normal","inmass","correct",1,0,NA,NA,NA,NA,NA,"3to1",30,100,"normal"
"main_3to1_K30_n100_normal","meta_regression","correct",1,0,NA,NA,NA,NA,NA,"3to1",30,100,"normal"
"main_4to0_K30_n100_normal","target_only","misspecified",1,0,NA,NA,NA,NA,NA,"4to0",30,100,"normal"
"main_4to0_K30_n100_normal","inmass","misspecified",1,0,NA,NA,NA,NA,NA,"4to0",30,100,"normal"
"main_4to0_K30_n100_normal","meta_regression","misspecified",1,1,0.527206630526152,0.277946831270739,1,2.52720663052615,0.333886649565901,"4to0",30,100,"normal"
"main_4to0_K30_n100_normal","target_only","correct",1,0,NA,NA,NA,NA,NA,"4to0",30,100,"normal"
"main_4to0_K30_n100_normal","inmass","correct",1,0,NA,NA,NA,NA,NA,"4to0",30,100,"normal"
"main_4to0_K30_n100_normal","meta_regression","correct",1,1,0.00791596935976679,6.26625709047667e-05,1,2.00791596935977,0.434598290167555,"4to0",30,100,"normal"
"main_1to1_K05_n020_chi2","target_only","misspecified",1,1,-0.231879027175738,0.0537678832439667,1,1.76812097282426,0.619228327092688,"1to1",5,20,"chi2"
"main_1to1_K05_n020_chi2","inmass","misspecified",1,0,NA,NA,NA,NA,NA,"1to1",5,20,"chi2"
"main_1to1_K05_n020_chi2","meta_regression","misspecified",1,0,NA,NA,NA,NA,NA,"1to1",5,20,"chi2"
"main_1to1_K05_n020_chi2","target_only","correct",1,1,-0.434157854421116,0.188493042555547,1,1.56584214557888,0.403107268979053,"1to1",5,20,"chi2"
"main_1to1_K05_n020_chi2","inmass","correct",1,0,NA,NA,NA,NA,NA,"1to1",5,20,"chi2"
"main_1to1_K05_n020_chi2","meta_regression","correct",1,0,NA,NA,NA,NA,NA,"1to1",5,20,"chi2"
"main_3to1_K05_n020_chi2","target_only","misspecified",1,1,-0.00850031489045144,7.22553532368305e-05,1,1.99149968510955,0.605573369865609,"3to1",5,20,"chi2"
"main_3to1_K05_n020_chi2","inmass","misspecified",1,0,NA,NA,NA,NA,NA,"3to1",5,20,"chi2"
"main_3to1_K05_n020_chi2","meta_regression","misspecified",1,0,NA,NA,NA,NA,NA,"3to1",5,20,"chi2"
"main_3to1_K05_n020_chi2","target_only","correct",1,1,-0.0879514144176272,0.0077354512980612,1,1.91204858558237,0.545382319169535,"3to1",5,20,"chi2"
"main_3to1_K05_n020_chi2","inmass","correct",1,0,NA,NA,NA,NA,NA,"3to1",5,20,"chi2"
"main_3to1_K05_n020_chi2","meta_regression","correct",1,0,NA,NA,NA,NA,NA,"3to1",5,20,"chi2"
"main_4to0_K05_n020_chi2","target_only","misspecified",1,0,NA,NA,NA,NA,NA,"4to0",5,20,"chi2"
"main_4to0_K05_n020_chi2","inmass","misspecified",1,0,NA,NA,NA,NA,NA,"4to0",5,20,"chi2"
"main_4to0_K05_n020_chi2","meta_regression","misspecified",1,1,0.897182222222214,0.804935939871591,1,2.89718222222221,0.723710435546442,"4to0",5,20,"chi2"
"main_4to0_K05_n020_chi2","target_only","correct",1,0,NA,NA,NA,NA,NA,"4to0",5,20,"chi2"
"main_4to0_K05_n020_chi2","inmass","correct",1,0,NA,NA,NA,NA,NA,"4to0",5,20,"chi2"
"main_4to0_K05_n020_chi2","meta_regression","correct",1,1,0.503377037986544,0.253388442372107,1,2.50337703798654,0.777784050926537,"4to0",5,20,"chi2"
"main_1to1_K10_n020_chi2","target_only","misspecified",1,1,0.590140797132193,0.348266160439821,1,2.59014079713219,0.571467661973771,"1to1",10,20,"chi2"
"main_1to1_K10_n020_chi2","inmass","misspecified",1,0,NA,NA,NA,NA,NA,"1to1",10,20,"chi2"
"main_1to1_K10_n020_chi2","meta_regression","misspecified",1,0,NA,NA,NA,NA,NA,"1to1",10,20,"chi2"
"main_1to1_K10_n020_chi2","target_only","correct",1,1,0.664450656938634,0.441494675506182,1,2.66445065693863,0.535725453046245,"1to1",10,20,"chi2"
"main_1to1_K10_n020_chi2","inmass","correct",1,0,NA,NA,NA,NA,NA,"1to1",10,20,"chi2"
"main_1to1_K10_n020_chi2","meta_regression","correct",1,0,NA,NA,NA,NA,NA,"1to1",10,20,"chi2"
"main_3to1_K10_n020_chi2","target_only","misspecified",1,1,-0.385572118405834,0.148665858491963,1,1.61442788159417,0.503227799674217,"3to1",10,20,"chi2"
"main_3to1_K10_n020_chi2","inmass","misspecified",1,0,NA,NA,NA,NA,NA,"3to1",10,20,"chi2"
"main_3to1_K10_n020_chi2","meta_regression","misspecified",1,0,NA,NA,NA,NA,NA,"3to1",10,20,"chi2"
"main_3to1_K10_n020_chi2","target_only","correct",1,1,0.0717355248772722,0.00514598552941774,0,2.07173552487727,1.66523276697057,"3to1",10,20,"chi2"
"main_3to1_K10_n020_chi2","inmass","correct",1,0,NA,NA,NA,NA,NA,"3to1",10,20,"chi2"
"main_3to1_K10_n020_chi2","meta_regression","correct",1,0,NA,NA,NA,NA,NA,"3to1",10,20,"chi2"
"main_4to0_K10_n020_chi2","target_only","misspecified",1,0,NA,NA,NA,NA,NA,"4to0",10,20,"chi2"
"main_4to0_K10_n020_chi2","inmass","misspecified",1,0,NA,NA,NA,NA,NA,"4to0",10,20,"chi2"
"main_4to0_K10_n020_chi2","meta_regression","misspecified",1,1,0.563060115121603,0.317036693240753,1,2.5630601151216,0.479954647518656,"4to0",10,20,"chi2"
"main_4to0_K10_n020_chi2","target_only","correct",1,0,NA,NA,NA,NA,NA,"4to0",10,20,"chi2"
"main_4to0_K10_n020_chi2","inmass","correct",1,0,NA,NA,NA,NA,NA,"4to0",10,20,"chi2"
"main_4to0_K10_n020_chi2","meta_regression","correct",1,1,0.0771209676700186,0.00594764365436006,1,2.07712096767002,0.535839128207311,"4to0",10,20,"chi2"
"main_1to1_K30_n020_chi2","target_only","misspecified",1,1,0.539940019114582,0.291535224241455,1,2.53994001911458,0.575272723178724,"1to1",30,20,"chi2"
"main_1to1_K30_n020_chi2","inmass","misspecified",1,0,NA,NA,NA,NA,NA,"1to1",30,20,"chi2"
"main_1to1_K30_n020_chi2","meta_regression","misspecified",1,0,NA,NA,NA,NA,NA,"1to1",30,20,"chi2"
"main_1to1_K30_n020_chi2","target_only","correct",1,1,-0.0647226974555051,0.00418902756591684,1,1.93527730254449,0.480123947239634,"1to1",30,20,"chi2"
"main_1to1_K30_n020_chi2","inmass","correct",1,0,NA,NA,NA,NA,NA,"1to1",30,20,"chi2"
"main_1to1_K30_n020_chi2","meta_regression","correct",1,0,NA,NA,NA,NA,NA,"1to1",30,20,"chi2"
"main_3to1_K30_n020_chi2","target_only","misspecified",1,1,0.856692111201459,0.733921373394813,1,2.85669211120146,0.558455138418478,"3to1",30,20,"chi2"
"main_3to1_K30_n020_chi2","inmass","misspecified",1,0,NA,NA,NA,NA,NA,"3to1",30,20,"chi2"
"main_3to1_K30_n020_chi2","meta_regression","misspecified",1,0,NA,NA,NA,NA,NA,"3to1",30,20,"chi2"
"main_3to1_K30_n020_chi2","target_only","correct",1,1,1.15690191541517,1.33842204189129,1,3.15690191541517,0.548572217918318,"3to1",30,20,"chi2"
"main_3to1_K30_n020_chi2","inmass","correct",1,0,NA,NA,NA,NA,NA,"3to1",30,20,"chi2"
