"scenario_id","replicate","estimator","formula_id","estimate","se","ci_low","ci_high","converged","diagnostics"
"main_3to1_K10_n100_normal",1,"meta_regression","correct",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_4to0_K10_n100_normal",1,"target_only","misspecified",NA,NA,NA,NA,FALSE,"x1k coefficient unavailable"
"main_4to0_K10_n100_normal",1,"inmass","misspecified",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_4to0_K10_n100_normal",1,"meta_regression","misspecified",2.5299989545134,0.468481266231472,1.611792545268,3.44820536375881,TRUE,""
"main_4to0_K10_n100_normal",1,"target_only","correct",NA,NA,NA,NA,FALSE,"x1k coefficient unavailable"
"main_4to0_K10_n100_normal",1,"inmass","correct",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
"main_4to0_K10_n100_normal",1,"meta_regression","correct",2.0392330374938,0.511917926584918,1.03589233834695,3.04257373664066,TRUE,""
"main_1to1_K30_n100_normal",1,"target_only","misspecified",2.10556253811442,0.272023875472153,1.56574001039067,2.64538506583818,TRUE,""
"main_1to1_K30_n100_normal",1,"inmass","misspecified",NA,NA,NA,NA,FALSE,"ps_meta=1;source_count_mode=all_rows_legacy"
"main_1to1_K30_n100_normal",1,"meta_regression","misspecified",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_1to1_K30_n100_normal",1,"target_only","correct",2.16676368141809,0.210010517580319,1.74989609876644,2.58363126406973,TRUE,""
"main_1to1_K30_n100_normal",1,"inmass","correct",NA,NA,NA,NA,FALSE,"ps_meta=1;source_count_mode=all_rows_legacy"
"main_1to1_K30_n100_normal",1,"meta_regression","correct",NA,NA,NA,NA,FALSE,"Length of 'yi' and 'vi' (or 'sei') are not the same."
"main_3to1_K30_n100_normal",1,"target_only","misspecified",1.93226538800321,0.251712953566071,1.43274922377314,2.43178155223328,TRUE,""
"main_3to1_K30_n100_normal",1,"inmass","misspecified",NA,NA,NA,NA,FALSE,"ps_meta=2;source_count_mode=source_rows"
